개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
휴게음식점,20171020,,01,영업/정상,01,영업,,12.80,부산광역시 해운대구 우동 1495번지,카페드파리,20171020174636,I,2018-08-31 23:59:59.0,커피숍,393952.264486105,187602.933160728,커피숍,,,N,12.8
휴게음식점,20171023,,01,영업/정상,01,영업,,19.80,부산광역시 해운대구 반송동 257-268번지,산알베르토카페반송점,20180918162543,U,2018-09-18 23:59:59.0,일반조리판매,395540.690770898,193923.985873962,일반조리판매,,,N,19.8
휴게음식점,20110608,,01,영업/정상,01,영업,,19.00,부산광역시 해운대구 우동 1434-1번지,톤즈카페,20111110144421,I,2018-08-31 23:59:59.0,일반조리판매,395695.998702938,186416.839176222,일반조리판매,,,N,19
휴게음식점,20180306,,01,영업/정상,01,영업,,35.23,부산광역시 해운대구 재송동 1220번지 센텀필1,오늘의커피,20180403151956,I,2018-08-31 23:59:59.0,커피숍,393646.060558206,188448.775532351,커피숍,,,N,35.23
휴게음식점,20170511,,01,영업/정상,01,영업,,64.96,부산광역시 해운대구 우동 265-25번지,큐티(QT)카페,20170608093704,I,2018-08-31 23:59:59.0,커피숍,396919.398746805,187889.229478671,커피숍,,,N,64.96
휴게음식점,20180124,,01,영업/정상,01,영업,,25.98,부산광역시 해운대구 우동 147-2번지,카페 히로,20180124114043,I,2018-08-31 23:59:59.0,일반조리판매,396791.59139589,187343.225784834,일반조리판매,,,N,25.98
휴게음식점,20180125,,01,영업/정상,01,영업,,42.42,부산광역시 해운대구 반여동 1116-1번지,천연발효빵카페,20180227133255,I,2018-08-31 23:59:59.0,일반조리판매,392796.168728307,192033.326375019,일반조리판매,,,N,42.42
휴게음식점,20170522,,01,영업/정상,01,영업,,35.72,부산광역시 해운대구 우동 1495번지,제이엠커피,20170522172733,I,2018-08-31 23:59:59.0,백화점,393952.264486105,187602.933160728,백화점,,,N,35.72
휴게음식점,20170523,,01,영업/정상,01,영업,,12.24,부산광역시 해운대구 좌동 387번지,작심카페,20170706161309,I,2018-08-31 23:59:59.0,기타 휴게음식점,398219.775792795,188074.949351098,기타 휴게음식점,,,N,12.24
휴게음식점,20171127,,01,영업/정상,01,영업,,39.04,부산광역시 해운대구 재송동 1208-2번지,감성커피 센텀시티점,20171229110838,I,2018-08-31 23:59:59.0,커피숍,393503.395720953,188279.474831569,커피숍,,,N,39.04
휴게음식점,20160512,,01,영업/정상,01,영업,,37.58,부산광역시 동래구 온천동 473-11번지,카페쿠바나,20170307170716,I,2018-08-31 23:59:59.0,커피숍,389208.163015855,192358.232338018,커피숍,,,N,37.58
휴게음식점,20160518,,01,영업/정상,01,영업,,526.20,부산광역시 동래구 명륜동 502-4번지,할리스커피부산동래역점,20180213141339,I,2018-08-31 23:59:59.0,커피숍,389504.997838512,191539.690623434,커피숍,,,N,526.2
휴게음식점,20160704,,01,영업/정상,01,영업,,85.21,부산광역시 동래구 낙민동 77-1번지,라일라카페,20160728090747,I,2018-08-31 23:59:59.0,커피숍,390440.372777095,190466.87922002,커피숍,,,N,85.21
휴게음식점,20180523,,01,영업/정상,01,영업,,,부산광역시 해운대구 우동 454-11번지 삼보주택,카페메모,20180709173104,I,2018-08-31 23:59:59.0,커피숍,396543.36708726,187420.919174644,커피숍,,,N,0
휴게음식점,20180524,,01,영업/정상,01,영업,,68.13,부산광역시 해운대구 우동 447번지,브루커피(VREW Coffee),20180621161146,I,2018-08-31 23:59:59.0,커피숍,396622.396347685,187359.855593559,커피숍,,,N,68.13
휴게음식점,20180607,,01,영업/정상,01,영업,,56.10,부산광역시 해운대구 재송동 1092-20번지,더원커피,20180713094540,I,2018-08-31 23:59:59.0,커피숍,393315.715666479,189374.160535705,커피숍,,,N,56.1
휴게음식점,20180510,,01,영업/정상,01,영업,,31.02,부산광역시 해운대구 반송동 40-565번지 뷰티크레딧,어벤더치커피 반송점,20180625163255,I,2018-08-31 23:59:59.0,커피숍,396198.307087629,194636.513747257,커피숍,,,N,31.02
휴게음식점,20180511,,01,영업/정상,01,영업,,9.73,부산광역시 해운대구 반여동 1639-2번지 묵은지감자탕,지니만화카페,20180625164059,I,2018-08-31 23:59:59.0,일반조리판매,392955.570526137,191282.301334668,일반조리판매,,,N,9.73
휴게음식점,20180514,,01,영업/정상,01,영업,,,부산광역시 해운대구 좌동 1307번지 대원아파트,메가커피 해운대백병원점,20180514153110,I,2018-08-31 23:59:59.0,커피숍,398587.756504036,188114.028456529,커피숍,,,N,0
